csv_line,target,reported,candidate_formula,matches_candidate_formula
1608,alkalinity,1360.0,1360.0,True
1609,alkalinity,80.0,80.0,True
1610,alkalinity,100.0,100.0,True
1611,alkalinity,80.0,80.0,True
1612,alkalinity,65.0,65.0,True
1613,alkalinity,85.0,85.0,True
1615,alkalinity,40.0,40.0,True
1648,alkalinity,190.0,190.0,True
1649,alkalinity,80.0,80.0,True
1650,alkalinity,150.0,150.0,True
1651,alkalinity,120.0,120.0,True
1652,alkalinity,95.0,95.0,True
1653,alkalinity,85.0,85.0,True
1654,alkalinity,40.0,40.0,True
1655,alkalinity,30.0,30.0,True
1656,alkalinity,20.0,20.0,True
1657,alkalinity,45.0,45.0,True
1658,alkalinity,110.0,110.0,True
1659,alkalinity,110.0,110.0,True
1660,alkalinity,115.0,115.0,True
1661,alkalinity,95.0,95.0,True
1662,alkalinity,115.0,115.0,True
1663,alkalinity,55.0,55.0,True
1664,alkalinity,40.0,40.0,True
1665,alkalinity,90.0,90.0,True
1666,alkalinity,65.0,65.0,True
1667,alkalinity,40.0,40.0,True
1668,alkalinity,50.0,50.0,True
1669,alkalinity,50.0,50.0,True
1670,alkalinity,95.0,95.0,True
1671,alkalinity,90.0,90.0,True
1672,alkalinity,45.0,45.0,True
1673,alkalinity,40.0,40.0,True
1674,alkalinity,55.0,55.0,True
1675,alkalinity,40.0,40.0,True
1676,alkalinity,60.0,60.0,True
1677,alkalinity,50.0,50.0,True
1678,alkalinity,80.0,80.0,True
1679,alkalinity,105.0,105.0,True
1680,alkalinity,60.0,60.0,True
1681,alkalinity,55.0,55.0,True
1682,alkalinity,190.0,190.0,True
1683,alkalinity,65.0,65.0,True
1684,alkalinity,85.0,85.0,True
1685,alkalinity,95.0,95.0,True
1686,alkalinity,75.0,75.0,True
1687,alkalinity,100.0,100.0,True
1688,alkalinity,75.0,75.0,True
1689,alkalinity,35.0,35.0,True
1690,alkalinity,120.0,120.0,True
1691,alkalinity,190.0,190.0,True
1692,alkalinity,240.0,240.0,True
1693,alkalinity,240.0,240.0,True
1694,alkalinity,235.0,235.0,True
1695,alkalinity,35.0,35.0,True
1696,alkalinity,135.0,135.0,True
1697,alkalinity,135.0,135.0,True
1698,alkalinity,110.0,110.0,True
1699,alkalinity,80.0,80.0,True
1700,alkalinity,90.0,90.0,True
1701,alkalinity,60.0,60.0,True
1702,alkalinity,25.0,25.0,True
1704,alkalinity,75.0,75.0,True
1705,alkalinity,90.0,90.0,True
1706,alkalinity,145.0,145.0,True
1707,alkalinity,65.0,65.0,True
1708,alkalinity,95.0,95.0,True
1709,alkalinity,95.0,95.0,True
1710,alkalinity,90.0,90.0,True
1711,alkalinity,65.0,65.0,True
1712,alkalinity,90.0,90.0,True
